Gene Symbol,Pearson,Spearman
BMP10,0.989058519,0.801783726
ARHGEF35,0.978923302,0.983333333
XKR7,0.976708097,1
RFTN2,0.965140957,0.95
POU1F1,0.964096477,0.547722558
KLK14,0.959359377,0.571428571
RADIL,0.95561474,0.95
NRXN1,0.948521048,0.733333333
AHSP,0.948419825,0.841625412
PRR5L,0.944077226,0.983333333
PRR16,0.943335729,0.9
IGLON5,0.941772745,0.45
ERVW-1,0.937930462,-0.083333333
LRRTM3,0.933593877,0.894613511
DMRTB1,0.917302452,0.327326835
RNF144B,0.916111356,0.830753354
MYL1,0.915665227,0.620374637
MYOG,0.913749319,0.592287864
KCNA1,0.905508237,0.592531954
CALCRL,0.903824493,0.882352941
GUCA2B,0.902187643,0.456435465
KLK3,0.897924575,0.547722558
CFC1,0.897737046,0.547722558
PRDM6,0.896289975,0.816666667
TPH1,0.895526416,0.266666667
BASP1,0.895493614,0.885253926
ESRP1,0.895288183,0.952380952
DAZ1,0.891698165,0.237346442
PVALB,0.889229953,0.905203811
TRH,0.886696595,0.518267489
FCRL3,0.885055994,0.700827561
SLC35D3,0.884873796,0.714285714
ZNF618,0.882749947,0.906417112
EDN3,0.880434131,0.627376434
AVIL,0.878284477,0.2
CHGA,0.877604697,0.415381805
DUSP10,0.875950174,0.766666667
TKTL1,0.870157496,0.627208741
PPP1R27,0.868523591,0.532561133
FHL2,0.867686372,0.822657724
IGHG1,0.867121922,0.452991453
LAG3,0.865471207,0.2
NXF3,0.865196797,0.566666667
GNG12,0.86513675,0.744644766
MAGEA4,0.864718797,0.457843619
CLDN16,0.863645296,0.4
ECEL1,0.863493482,0.866666667
GLYATL1,0.862812937,0.949288905
LGALS4,0.862343576,0.350451421
NTS,0.861377583,0.550072569
DUX4,0.861180875,0.938590635
ALPI,0.860600971,0.362994085
PLLP,0.860579618,0.864199479
KLHL29,0.860463783,0.926129426
MAP1B,0.860121522,0.89918456
IFI16,0.859548478,0.862978542
PMEL,0.858806767,0.353499766
LAD1,0.857150943,0.813590123
SYT4,0.856720227,0.49
CORO1A,0.856597403,0.73348522
SHISA4,0.855599765,0.85764623
MCAM,0.855423516,0.875497783
SEC16A,0.855371209,0.716666667
TGFB3,0.855153669,0.796071195
TMIGD2,0.854077898,0.661111916
SALL3,0.853981689,-0.059408853
IGF2BP1,0.853326414,0.836576138
ALDH7A1,0.853297398,0.76734808
ADH4,0.852329701,0.566949444
FCER1G,0.850572165,0.601801802
GDF10,0.850550144,0.504975247
CCDC69,0.850139128,0.85637229
TNFRSF14,0.850136129,0.746130031
CD44,0.849713816,0.841409325
LCP1,0.849221603,0.750906737
TRIP6,0.84905745,0.752190291
MYO1A,0.848880923,0.499594942
HSPA4L,0.847469041,0.830296073
RBM47,0.847272499,0.880087278
ERBB2,0.846580508,0.803579477
EBI3,0.846551718,0.066666667
CKAP4,0.846417941,0.851623713
TJP2,0.846372176,0.86613103
LGALS1,0.846259796,0.841894124
CAMK2D,0.845941608,0.845832442
EPCAM,0.843499022,0.832860832
C2orf88,0.842823809,0.740201594
CDH2,0.842399029,0.842084942
SEZ6,0.842203816,0.486631016
VIM,0.842196606,0.853484186
BAG2,0.841929416,0.762151587
CDH17,0.841578492,0.467958256
S100A14,0.8414927,0.732367573
CD9,0.841174694,0.852173607
NT5E,0.841019728,0.867910663
SERPINH1,0.840938925,0.874105894
DCBLD2,0.840881295,0.880837859
FKBP10,0.840802291,0.857283855
ST14,0.840316131,0.784224404
ADAM9,0.840218247,0.811671136
SYT8,0.840168553,0.633333333
ALDH1A1,0.839955384,0.738702393
UCHL1,0.839948908,0.786533016
PSMB8,0.839555867,0.836642642
VIL1,0.839273487,0.431244992
CAPRIN2,0.839048207,0.798319328
ZNF837,0.838656311,0.85
AIM1,0.838644367,0.886945906
SPATS2L,0.83843356,0.863159255
ALDH2,0.838379616,0.854253332
ASPH,0.83711467,0.827079901
RPS4Y1,0.836224247,0.613307375
CD4,0.836204368,0.476568205
FAS,0.835753723,0.847427368
VAMP8,0.835094366,0.780240748
HSPA2,0.834990645,0.866293413
PTPRC,0.834885392,0.348856305
KIRREL,0.834544079,0.809678594
CDCP1,0.834277941,0.845436942
SLC16A3,0.833816953,0.87157239
DPYSL3,0.833734043,0.835222789
HPGDS,0.833348044,0.654399538
ADD2,0.832613937,0.82721213
RFTN1,0.832476312,0.847726285
GLYCTK,0.832329744,0.805539555
ST8SIA3,0.832114735,0.149121768
CXCL14,0.832106882,0.240454076
CLCA1,0.831783096,0.463713017
SERPINB5,0.831600964,0.734122532
ITGA3,0.831506862,0.847377079
ATP1B1,0.831279707,0.754000005
CCL26,0.83099885,0.585540044
ZNF185,0.830896632,0.853645629
MMP14,0.830891496,0.842576556
CGN,0.83049222,0.867222827
SPON1,0.830373051,0.54792098
SNAI1,0.830163974,0.787409701
FLNB,0.829964944,0.828990664
ITGA2,0.829941703,0.872586873
GULP1,0.829765743,0.809152436
HSPB8,0.829535104,0.853002323
NUP210,0.829499909,0.769524859
RAC2,0.829474538,0.860198056
SNX10,0.829232253,0.844345652
ALOX15,0.829140368,0.19047619
IRF4,0.828980371,0.439213858
RDX,0.828924362,0.795598503
LIMCH1,0.82891784,0.873111856
GRHL2,0.828817753,0.762288394
PAPSS2,0.82877735,0.873834003
HOOK1,0.828714533,0.835498206
CDH1,0.828592004,0.788963122
EGFR,0.828495234,0.874096495
TNNT3,0.82788208,0.600567913
GZMB,0.827839081,0.339451429
ALDH1A3,0.827747089,0.825013336
FAM84B,0.827525272,0.864374896
CFL2,0.827420339,0.828164883
MPPED2,0.827417512,0.739965385
HMGA2,0.827347565,0.869331926
SQRDL,0.827121019,0.874459095
PDLIM1,0.826676053,0.879382286
CAV1,0.826672296,0.860353859
TGM2,0.826580006,0.852125432
ARID3A,0.826503621,0.825918471
ITLN1,0.82642652,0.806406351
CALD1,0.826402959,0.850477867
GPX8,0.826310252,0.805578128
KIAA0040,0.82630048,0.82676332
CPNE4,0.825977229,0.80952381
ANPEP,0.825916223,0.692812846
BARHL2,0.825504455,0.558728469
OXCT1,0.825433835,0.782180868
ICAM1,0.825308512,0.843726162
SLAMF7,0.825300093,0.587008547
PDLIM4,0.82494192,0.818989899
BTBD3,0.824567047,0.746130031
LYN,0.82452168,0.828100259
IKBIP,0.824372506,0.842503707
PTK7,0.824212448,0.879633968
FSTL4,0.823809131,0.283333333
DAB2,0.823551918,0.873931527
GPRC5A,0.823422349,0.860352684
FSTL1,0.823415891,0.856608239
TJP1,0.823290078,0.755587881
DBN1,0.823070379,0.820274383
PARD3,0.823039247,0.750998151
SEPT6,0.822964691,0.805749206
ALCAM,0.822936686,0.849068354
FAM169A,0.822870017,0.816563307
TCF4,0.822799273,0.853299189
UGDH,0.82269468,0.807049916
LIMA1,0.822623702,0.791110996
SLC38A4,0.822600547,0.74974359
GPM6B,0.822593049,0.631522501
TACSTD2,0.822546648,0.733149174
LSR,0.822533984,0.846311132
HPDL,0.821951532,0.845948296
KIAA1522,0.821909919,0.837760524
ANXA6,0.821622258,0.861827291
ITGB4,0.8214425,0.836682827
MYEF2,0.821153962,0.872451514
EGR2,0.821021344,0.669762642
NCAM1,0.82079538,0.712871103
MET,0.820759139,0.831057934
NCEH1,0.820214636,0.827262024
TFPI,0.820192819,0.855226755
